"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"HIM","534","Hlthcre Voc & Clin Classif Sys","2318","Biomed & Health Info Sciences","2","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Ramirez, Gideon","13"
"HIST","103","Early America","2316","History","16","19","4","3","2","0","0","0","0","0","0","0","0","0","0","1","Whisenhunt, William Benton","45"
"HIST","235","The Rise and Fall of Communism","2316","History","23","6","0","1","0","0","0","0","0","0","0","0","0","0","0","3","Fidelis, Malgorzata","33"
"HN","455","Supervised Practice II","2960","Kinesiology and Nutrition","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","Oshita, Shayna Emily","34"
"HON","222","Honors Activity","2310","Honors College","0","0","0","0","0","0","0","18","0","0","0","0","0","6","0","0","DeBoer, Celia Annette","24"
"IPHS","420","Interprofessional Education","2592","School of Public Health","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","Bonney, Tessa Harris","19"
"LALS","101","Intro Latin American Studies","2988","Latin American &Latino Studies","9","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Zubillaga Gabaldon, Maria Veronica","13"
"MATH","220","Differential Equations I","2610","Math, Statistics, & Comp Scnc","10","7","4","1","0","0","0","0","0","0","0","0","0","0","0","2","Nicholls, David Peter","24"
"MDC","613","Doctoring Clinical Skills 3","2718","Administration","0","0","0","0","0","0","0","0","0","0","182","0","0","0","0","0","Thomas, Dorian E","182"
"BCMG","599","PhD Thesis Research","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","1","0","0","0","0","20","0","0","Chronis, Konstantinos","21"
"BIOS","343","Animal Physiological Systems","2453","Biological Sciences","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Molumby, Alan J","18"
"BIOS","350","General Microbiology","2453","Biological Sciences","44","24","20","3","5","0","0","0","2","0","0","0","0","0","0","5","Mills, Michael","103"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","15","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Lin, Meishan","19"
"BVIS","500","BVIS Techniques","2318","Biomed & Health Info Sciences","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cloninger, Kelly Lee","22"
"BVIS","520","Modeling Materials & Textures","2318","Biomed & Health Info Sciences","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cloninger, Kelly Lee","12"
"CELE","604","Advanced Emerg Medicine","2498","Emergency Medicine","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","Thomas, Dorian E","5"
"CELE","620","Advancing Clinical Reasoning","2857","Medical Education","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","Moran, Larry M","15"
"CHEM","232","Structure and Function","2458","Chemistry","27","16","33","7","11","0","0","0","0","0","0","0","0","0","0","9","Mohr, Justin T","103"
"CI","429","Sec Sci Ed in Urban Settings","2783","Curriculum and Instruction","10","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","Nishimura, Marlynne K","12"
"CLER","617","Psychiatry","2500","Psychiatry & Behavioral Med","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","Clore, Jean L","14"
"CLER","632","Psychiatry","2307","Psychiatry","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","Thomas, Dorian E","9"
"CLJ","220","Criminology","2909","Criminology, Law, and Justice","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","1","Bird, Jessica Jane","15"
"CLJ","363","Drugs and Addiction in Society","2909","Criminology, Law, and Justice","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gunn, Alana Janell","16"
"CS","109","Prog for Engineers w/MatLab","2699","Computer Science","10","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Hodges, Mark Richard","16"
"CS","391","Computer Science Practicum","2699","Computer Science","0","0","0","0","0","0","0","0","0","0","1","0","0","10","12","1","Troy, Patrick A","24"
"CS","394","Data Engineering","2699","Computer Science","10","7","3","2","2","0","0","0","0","0","0","0","0","0","0","1","Riazi, Sara","25"
"DHD","567","AAC Autism Spectrum Disorder","2871","Disability & Human Development","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Meehan, Stephanie L","24"
"ECE","340","Electronics I","2949","Electrical & Computer Engr","21","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Metlushko, Vitali V","27"
"EDPS","453","Topics in Ed Policy Studies","2835","Educational Policy Studies","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Luedke, Courtney L","20"
"ENDO","613","Pharm for the Dental Speclist","2216","Endodontics","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","Schmerman, Michael L","14"
"EPSY","210","Learning and Instruction","2208","Education","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sriplo, Thitirat","11"
"GWS","255","Intro to Middle East Feminisms","2369","Gender and Women's Studies","11","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Naber, Nadine","15"
"IDS","371","Business Statistics II","2672","Information/Decision Sciences","6","6","2","3","5","0","0","0","1","0","0","0","0","0","0","1","Sparks, John","24"
"IDS","400","Programming for Data Science","2672","Information/Decision Sciences","24","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","27"
"IPHS","401","Determinants Population Health","2592","School of Public Health","23","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Shapiro-Berkson, Stephanie B","27"
"IPHS","520","Foundations of Public Health","2592","School of Public Health","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Petros, Michael Peter","13"
"ANTH","102","Intro to Archaeology","2841","Anthropology","20","12","3","1","1","0","0","0","0","0","0","0","0","0","0","1","LaMotta, Vincent","38"
"BA","200","Business Communication","2785","Business Administration Admini","20","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Bailey, Lisa","24"
"BIOS","331","Ecology Laboratory","2453","Biological Sciences","5","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Ale, Som Bahadur","12"
"CHEM","123","Foundations of Chem Inquiry I","2458","Chemistry","25","33","9","1","3","0","0","0","0","0","0","0","0","0","0","3","Stec, Ewa","74"
"CHEM","343","Physical Chemistry Lab","2458","Chemistry","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Papadantonakis, George A","10"
"CLER","601","Obstetrics and Gynecology","2225","Obstetrics & Gynecology","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","Baron-Kuhn, Elizabeth A","21"
"CLER","612","Medicine Sub-Internship","2586","Medicine","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","Khan, Asra R","21"
"CLER","631","Obstetrics and Gynecology","2677","Obstetrics & Gynecology","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","Thomas, Dorian E","13"
"CME","205","Structural Analysis I","2737","Civil, Matls & Env Engineering","11","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Issa, Mohsen","19"
