"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ARCH","106","Architectural Studio 2","2911","School of Architecture","31","31","30","7","5","0","0","0","0","0","2","0","0","0","0","3","Preissner, Paul","109"
"ARCH","522","Topics in Arch Technology","2911","School of Architecture","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lyster, Clare","10"
"ART","130","Intro to Painting(Major Only)","2583","Art","9","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","Banos Arjona, Juan Antonio","11"
"ART","140","Introduction to Sculpture","2583","Art","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Le, Minh Hien","19"
"ART","374","Animation Production","2583","Art","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Lopez, Michael","15"
"ART","520","Anthropocene: Weird Sensations","2583","Art","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","Johnson, Garrett Laroy","10"
"ASP","085","Boosting Academic Success","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","10","7","3","Baniasad, Bahar","20"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","43","12","2","0","1","0","0","0","0","0","0","0","0","0","0","2","Anderson, Stephanie Leigh","60"
"BA","200","Business Communication","2785","Business Administration Admini","77","27","4","0","1","0","0","0","0","0","0","0","0","0","0","2","Bailey, Lisa","111"
"BA","200","Business Communication","2785","Business Administration Admini","64","41","11","1","0","0","0","0","0","0","1","0","0","0","0","2","Banks, Jacinta","120"
"BA","220","Business Prof Dev II","2785","Business Administration Admini","110","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Souri, Ranjit J","121"
"BA","420","Professional Presence","2785","Business Administration Admini","49","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Warner, Kimberly","60"
"BHIS","510","Informatics & Population Hlth","2318","Biomed & Health Info Sciences","25","35","1","0","2","0","0","0","0","0","0","0","0","0","0","1","Czart, Margaret B","64"
"BHIS","520","Hlth Info Syst Analysis & Dsgn","2318","Biomed & Health Info Sciences","34","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","McNay, Steven M","36"
"BIOS","312","Cell Biology Laboratory","2453","Biological Sciences","102","93","29","7","3","0","0","0","1","0","0","0","0","0","0","5","Santus, William","240"
"BIOS","331","Ecology Laboratory","2453","Biological Sciences","68","11","6","9","0","0","0","0","0","0","0","0","0","0","0","1","Ale, Som Bahadur","95"
"BIOS","486","Animal Behav & Neuroethology","2453","Biological Sciences","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Park, Thomas J","22"
"BLST","258","Race and Urban Life","2363","Black Studies","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Johnson, Cedric","13"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","20","7","3","1","1","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","32"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","13","13","5","0","0","0","0","1","0","0","0","0","0","0","0","0","Takoudis, Christos G","32"
"BME","333","Bioinstrumentation Lab I","2437","Biomedical Eng - Engineering","36","13","0","1","0","0","0","0","2","0","0","0","0","0","0","0","Wang, Zhinan","52"
"BME","397","Senior Design II","2437","Biomedical Eng - Engineering","56","9","3","2","0","0","0","0","0","0","0","0","0","0","0","0","Felder, Anthony E","70"
"BME","399","Prof Development Biomed Eng","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","73","5","0","Esmailbeigi, Hananeh","78"
"BIOS","592","Research Seminar","2453","Biological Sciences","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","Orenic, Teresa Vales","36"
"BIOS","593","Intro to Lab Research","2453","Biological Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","Orenic, Teresa Vales","16"
"BLST","104","Race, Place and Schooling","2363","Black Studies","9","7","3","0","0","0","0","0","3","0","0","0","0","0","0","1","Stovall, David O","23"
"BME","422","Magnetic Resonance Imaging","2437","Biomedical Eng - Engineering","1","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Iyigunler, Meryem Muge Karaman","10"
"BSTT","535","Categorical Data Analysis","2891","Epidemiology and Biostatistics","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wang, Tianhao","10"
"BSTT","595","Biostatistics Research Seminar","2891","Epidemiology and Biostatistics","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","0","Sun, Jiehuan","12"
"BVIS","521","Modeling III","2318","Biomed & Health Info Sciences","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cloninger, Kelly Lee","14"
"CELE","606","Sleep Medicine","2586","Medicine","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0","Thomas, Dorian E","10"
"CELE","607","M3 Neurology Clerkship","2843","Neurology and Rehab Medicine","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","Thomas, Dorian E","12"
"CELE","620","M4 TeachingElec Hosp Pract","2857","Medical Education","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Thomas, Dorian E","18"
"CHE","382","Chem Engr Lab II","2709","Chemical Engrg","23","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Zdunek, Alan","39"
"CHEM","343","Physical Chemistry Lab","2458","Chemistry","10","23","26","0","3","0","0","0","1","0","0","0","0","0","0","0","Jiang, Nan","63"
