"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BHIS","460","Intro to Hlth Informatics","2318","Biomed & Health Info Sciences","18","11","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Williams, Felecia Altevet","32"
"BHIS","575","App Stats Hlth Data Science","2318","Biomed & Health Info Sciences","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","2","Bozinovich, Lu","38"
"BIOS","196","Biology Colloquium","2453","Biological Sciences","25","11","2","3","1","0","0","0","0","0","0","0","0","0","0","0","Nelson, Karin Noel","42"
"BIOS","220","Genetics","2453","Biological Sciences","173","156","52","17","9","0","0","0","0","0","0","0","0","0","0","10","Kukday, Sayali Shrikant","417"
"ACTG","355","Business Law I","2656","Accounting","45","46","23","3","0","0","0","0","0","0","0","0","0","0","0","1","Josephson, Andrew Robert","118"
"ACTG","447","Tax Research","2656","Accounting","10","23","4","2","0","0","0","0","0","0","0","0","0","0","0","0","McLaughlin, Michael Patrick","39"
"AH","204","Greek Art & Archaeology","2349","Classics & Mediterran Studies","7","3","2","0","1","0","0","0","0","0","0","0","0","0","0","2","Ros, Karen E","15"
"AH","510","WHAT WAS ART?","2910","Art History","17","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","Stimson, Blake","20"
"AH","561","Holding Onto Art in the 1960s","2910","Art History","12","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Archias, S Elise","15"
"AHS","402","Inter-professional Seminar","2797","Applied Health Sciences Admin","19","13","1","2","0","0","0","0","0","0","0","0","0","0","0","0","Wescott, Jennifer J","35"
"ANAT","441","Gross Human Anatomy","2387","Anatomy and Cell Biology","26","17","11","0","0","0","0","0","2","0","0","0","0","0","0","0","Savakova, Denitsa","56"
"ANTH","100","Human Adventure","2841","Anthropology","101","73","35","22","20","0","0","0","0","0","0","0","0","0","0","13","Bauer, Brian S","264"
"ANTH","245","Anthropology of Middle East","2841","Anthropology","7","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Rabie, Kareem Mohamed","13"
"ANTH","500","Soc and Cult Theory I","2841","Anthropology","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Doane, Molly","13"
"ARAB","101","Elementary Arabic I","2349","Classics & Mediterran Studies","53","6","1","1","5","0","0","0","0","0","0","0","0","0","0","4","Almahamid, Jumana Mohammed","70"
"ARCH","563","Architectural Technology III","2911","School of Architecture","15","9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Frye, Christopher Allen","25"
"ART","112","Intro to Drawing(Major Only)","2583","Art","12","1","6","0","1","0","0","0","0","0","0","0","0","0","0","0","Aguilar, Sarah","20"
"ART","151","Intro to Creative Coding","2583","Art","12","1","0","0","2","0","0","0","0","0","0","0","0","0","0","2","Johnson, Garrett Laroy","17"
"ART","151","Intro to Creative Coding","2583","Art","11","4","0","1","0","0","0","0","0","0","0","0","0","0","0","2","Wanbli, Ava Mirage","18"
"ART","261","Film Photography/Darkroom","2583","Art","8","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Keihm, Colleen","11"
"ART","401","Senior Projects: Critique","2583","Art","13","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Reeder, Jennifer K","22"
"BA","200","Business Communication","2785","Business Administration Admini","73","35","13","0","0","0","0","0","0","0","0","0","0","0","0","0","Andrews, Dean","121"
"BA","200","Business Communication","2785","Business Administration Admini","18","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Schraufnagel, William","29"
